0,2680670.93,1116176.33
900,2650364.14,1121235.35
1800,2720159.64,1172535.46
2700,2708718.57,1144372.65
3600,2683103.94,1124581.7
4500,2773009.74,1157982.88
5400,2720546.08,1116283.91
6300,2766534.3,1155388.37
7200,2798371.4,1120736.48
8100,2771544.89,1122711.91
9000,2849429.17,1116497.22
9900,2952927.7,1157737.88
10800,2977269.01,1186502.93
11700,2748923.86,1110065.19
12600,2760894.65,1083314.3
13500,2702353.27,1046967.13
14400,2886864.9,1175747.13
15300,2846543.98,1098473.33
16200,2834454.8,1078989.53
17100,2813610.9,1091367.1
18000,2920204.93,1112951.66
18900,2973635.74,1172099.76
19800,2927660.34,1125161.04
20700,2934772.34,1105454.13
21600,3095831.91,1137244.26
22500,2984205.14,1103122.92
23400,3127756.35,1164429.47
24300,3054641.69,1220065.61
25200,3194875.85,1255147.34
26100,3066376.28,1198978.27
27000,3076317.17,1180895.23
27900,3070837.01,1177651.34
28800,3062762.33,1179463.17
29700,3119528.69,1138471.25
30600,3220232.85,1200504.64
31500,3182592.68,1166684.6
32400,3206964.57,1190074.49
33300,3211716.25,1206866.36
34200,3278839.05,1221982.54
35100,3277983.31,1333634.95
36000,3354810.61,1389958.47
36900,3263922.0,1325028.35
37800,3228700.2,1276788.21
38700,3294267.7,1286272.34
39600,3292269.93,1337995.24
40500,3128353.0,1217426.06
41400,3394601.9,1318837.65
42300,3232793.33,1321158.97
43200,3346340.88,1306318.08
44100,3381498.32,1334126.59
45000,3333293.52,1283745.48
45900,3147902.07,1232802.25
46800,3279208.1,1278563.51
47700,3107794.28,1208470.28
48600,3211645.02,1273927.19
49500,3183365.66,1244596.53
50400,3012982.09,1144930.11
51300,3260239.29,1200653.87
52200,3178286.22,1116404.02
53100,3321972.47,1182838.17
54000,3250475.56,1167247.56
54900,3197958.8,1140019.41
55800,3186626.86,1166506.16
56700,2967557.65,1077570.28
57600,3088408.26,1154369.93
58500,3052157.87,1163162.66
59400,3153398.35,1138263.98
60300,3005703.64,1128820.59
61200,3124742.34,1206374.63
62100,3042222.02,1155855.74
63000,2989659.39,1180771.64
63900,2852443.27,1101011.9
64800,2878871.98,1077290.95
65700,2922190.43,1089586.67
66600,2828212.55,1078494.87
67500,2794208.13,1015789.49
68400,2697135.68,1035571.84
69300,2684756.84,1034813.78
70200,2589226.59,1094404.08
71100,2534136.93,1090580.47
72000,2526825.99,1067616.58
72900,2525516.24,1009802.4
73800,2488508.06,1064722.41
74700,2456918.7,1025370.48
75600,2490007.32,1034971.98
76500,2664440.28,1135175.99
77400,2670626.59,1111477.48
78300,2653689.33,1129802.03
79200,2695442.32,1173329.77
80100,2649281.07,1141566.38
81000,2732039.06,1133410.49
81900,2711535.46,1144902.65
82800,2753539.58,1224197.94
83700,2722605.19,1160066.25
84600,2789106.35,1137866.64
85500,2790803.56,1158229.71
86400,2806892.12,1136649.54
87300,2730868.38,1133804.44
88200,2791942.47,1176475.98
89100,2725639.07,1171688.23
90000,2754341.22,1185605.44
90900,2741335.97,1142811.13
91800,2765420.38,1149193.82
92700,2802297.36,1209304.32
93600,2887560.15,1215589.78
94500,2826531.1,1189490.57
95400,2930791.72,1253804.9
96300,2905752.04,1210845.15
97200,2788215.36,1121996.98
98100,2714001.34,1082034.21
99000,2731583.04,1082483.55
99900,2706553.8,1130429.81
100800,2750921.36,1164877.17
101700,2791147.43,1119309.81
102600,2883949.58,1192827.03
103500,2948522.0,1211407.29
104400,2915677.46,1158878.81
105300,2921647.52,1166530.43
106200,3094827.3,1162233.58
107100,3004840.85,1172582.79
108000,3027992.52,1147019.9
108900,3231067.38,1266018.77
109800,3304632.75,1266786.99
110700,3056383.21,1188325.29
111600,3117426.91,1226105.71
112500,3045482.76,1142180.79
113400,3227250.27,1286041.9
114300,3129650.3,1163210.27
115200,3139779.05,1214743.84
116100,3156178.44,1242331.6
117000,3151490.94,1185520.11
117900,3211145.69,1265637.08
118800,3262040.04,1305598.94
119700,3299508.82,1359123.5
120600,3371803.89,1326268.34
121500,3347416.26,1355610.26
122400,3223403.87,1275218.08
123300,3232422.64,1266704.41
124200,3310562.99,1244407.29
125100,3412709.29,1351348.02
126000,3300972.56,1255162.45
126900,3400675.32,1322177.67
127800,3445870.42,1299889.07
128700,3375992.34,1313141.33
129600,3302611.54,1263936.95
130500,3507755.77,1361519.62
131400,3292509.61,1286725.52
132300,3378133.58,1299023.99
133200,3418201.08,1349519.9
134100,3379220.67,1335133.21
135000,3340538.18,1356210.48
135900,3272557.89,1390532.32
136800,3096315.58,1177119.14
